시군구코드,시군구_x,시군구_y
41830,1003578.190168,1945168.725368
42110,1019699.166645,1986527.456235
42130,1038259.081735,1925614.840440
42150,1121919.635506,1975137.620221
42170,1141626.640994,1947934.019959
42190,1132828.315460,1907093.706548
42210,1094706.235814,2022422.028150
42230,1147928.598361,1927392.866879
42720,1038794.825239,1968162.681290
42730,1049973.329747,1944643.543838
42750,1082594.941976,1912965.783401
42760,1085182.243469,1948203.758746
42770,1109438.913224,1929578.855571
42780,983698.351149,2023095.170624
42790,1014543.952333,2011513.851279
42800,1044844.006559,2016150.571779
42810,1064647.104412,2006476.955620
42820,1085347.963883,2040936.559751
42830,1100230.634564,2006125.349394
43111,1003933.615117,1845529.925319
43112,996251.196095,1843648.954312
43113,991061.638905,1848874.628944
43114,999226.842231,1856102.578850
43130,1034219.943346,1889653.025356
43150,1060205.634879,1900880.528776
43720,1020616.018703,1831296.832330
43730,1011912.281747,1812526.690481
43740,1027676.246091,1797573.881039
43745,1008639.879418,1865314.861272
43750,995780.695494,1875621.377759
43760,1026642.277445,1865286.417170
43770,1008709.156956,1887095.745730
43800,1077028.867283,1890074.306623
44131,973792.114969,1863772.935567
44133,968979.888192,1876057.812522
44150,963051.565747,1830176.621866
44180,917599.592705,1816637.332163
44200,954896.667448,1868182.227469
44210,907834.294987,1865699.014182
44230,966104.241861,1799179.184271
44250,976984.352802,1808401.572315
44270,928108.173425,1876138.951639
44710,998090.980733,1792239.578399
44760,943730.848188,1805343.642894
44770,927776.167713,1788326.185122
44790,941312.662313,1825860.350968
44800,922994.715212,1841815.435488
44810,935586.598684,1854220.907503
44825,891112.533117,1856178.509906
45111,966486.377290,1757072.865999
45113,965851.675581,1761595.592324
45130,930618.499379,1774249.793390
45140,953037.978140,1777857.923259
45180,943694.269568,1735309.928484
45190,992162.947567,1713957.741761
45210,946242.613675,1757228.585790
45710,970311.777301,1768285.947741
45720,993234.560115,1756785.469523
45730,1018074.450010,1772111.810154
45740,1003104.646499,1741260.908858
45750,977954.816201,1733094.281411
45770,965235.788049,1712372.774376
45790,920265.496745,1717127.803435
45800,925154.510344,1743514.310335
46110,898694.998745,1645678.369851
46130,1016010.455010,1636829.544139
46150,995201.849866,1663530.584270
46170,928657.554874,1667467.016332
46230,1014090.543340,1666012.918942
46710,952861.155888,1699554.930827
46720,977126.652506,1693231.724697
46730,998187.814206,1692718.699549
46770,981173.946928,1623428.188859
46780,971499.042546,1645543.581775
46790,955362.961411,1668976.960648
46800,947850.579863,1625902.666259
46810,933399.045321,1625395.283048
46820,910004.599549,1616643.729789
46830,919146.909210,1645804.108953
46840,902144.227303,1662299.024439
46860,912298.064723,1679285.235660
46870,905180.487836,1699418.406091
46880,933911.061732,1701811.511413
46890,933438.747175,1590185.958445
46900,883416.637082,1606100.747969
46910,870003.290973,1648953.504354
47111,1173823.941580,1778335.773400
47113,1162254.982742,1792116.545818
47130,1157199.494206,1761313.169414
47150,1055042.022094,1789723.375178
47170,1109243.579295,1843245.896235
47190,1076968.945899,1797735.884090
