기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	계	계	계	자연공원	자연공원	자연공원	소계	소계	소계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	생태공원	생태공원	가로공원	가로공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2017	서울대공원	1	-	6,670.0	-	-	-	1	-	6,670.0	-	-	-	-	1	-	6,670.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	합계	2,859	34	168,843.3	1	5	37,345.0	2,205	26	115,463.6	1,268	2,203.8	404	563.9	407	14	45,441.7	20	12	63,101.1	4	2,377.9	54	786.9	6	183.2	18	500.9	14	227.2	1	51.5	9	25.5	653	3	16,034.7
2018	종로구	108	2	11,555.8	-	1	4,998.0	69	1	6,432.5	24	60.5	16	22	22	-	2,497.0	2	1	3,734.1	-	-	3	9.6	-	-	2	109.4	-	-	-	-	-	-	39	-	125.3
2018	중구	70	2	3,132.0	-	-	-	59	2	3,082.4	16	33.7	28	25.2	6	2	1,176.7	1	-	1,785.1	-	-	3	5.8	1	29.7	4	26.2	-	-	-	-	-	-	11	-	49.6
2018	용산구	103	1	1,795.6	-	-	-	65	1	781.7	23	45.1	28	41	7	1	607.2	-	-	-	-	-	2	61	-	-	3	23.9	-	-	-	-	2	3.5	38	-	1,013.9
2018	성동구	85	1	3,102.1	-	-	-	64	1	1,260.7	32	55.8	16	16.6	10	1	1,082.7	-	-	-	-	-	2	94	1	2.8	-	-	-	-	-	-	3	8.8	21	-	1,841.4
2018	광진구	59	2	3,363.0	-	-	-	44	1	2,916.4	35	39	8	9.7	1	-	560.6	-	1	2,307.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	1	446.6
2018	동대문구	95	1	1,275.8	-	-	-	79	1	1,033.7	42	80.4	22	30.5	12	1	913.1	-	-	-	-	-	-	-	-	-	1	3.9	-	-	-	-	2	5.9	16	-	242.1
2018	중랑구	102	-	5,206.3	-	-	-	65	-	5,023.7	45	60	9	18.6	9	-	1,311.6	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	-	-	-	-	37	-	182.7
2018	성북구	127	5	8,342.4	-	1	3,864.0	74	4	4,420.0	39	101.4	21	23.6	9	3	2,006.2	1	1	2,276.2	-	-	3	10.9	-	-	-	-	1	1.8	-	-	-	-	53	-	58.4
2018	강북구	84	1	14,346.7	1	-	11,899.0	64	1	2,291.8	44	76.2	13	10.3	3	-	2,049.7	-	1	129.4	-	-	4	26.2	-	-	-	-	-	-	-	-	-	-	19	-	155.9
2018	도봉구	79	2	10,075.3	-	1	8,703.0	50	1	1,163.8	39	49.2	7	9.7	2	1	1,003.6	-	-	-	-	-	-	-	1	49.8	-	-	-	-	1	51.5	-	-	29	-	208.5
2018	노원구	181	-	14,337.7	-	-	-	129	-	13,850.2	93	170	3	4.1	25	-	1,535.9	2	-	12,024.3	-	-	5	48.8	1	67.1	-	-	-	-	-	-	-	-	52	-	487.4
2018	은평구	133	3	13,997.9	-	1	7,663.0	98	2	6,228.9	46	91.8	23	41.1	24	1	2,690.4	2	1	3,340.3	-	-	3	65.3	-	-	-	-	-	-	-	-	-	-	35	-	106
2018	서대문구	118	4	5,136.1	-	1	218	78	3	4,898.2	45	99.4	21	15.8	8	1	1,322.2	1	2	3,449.5	-	-	3	11.3	-	-	-	-	-	-	-	-	-	-	40	-	19.9
2018	마포구	142	-	4,439.9	-	-	-	98	-	3,126.7	54	88.8	22	32.6	11	-	2,859.7	-	-	-	1	13.2	9	127.7	-	-	1	4.8	-	-	-	-	-	-	44	-	1,313.2
2018	양천구	120	1	2,909.8	-	-	-	102	1	2,487.3	73	126.9	10	23.1	18	-	1,115.9	-	1	1,003.5	-	-	1	217.9	-	-	-	-	-	-	-	-	-	-	18	-	422.6
2018	강서구	167	-	4,329.3	-	-	-	155	-	3,244.9	123	186.3	4	3	22	-	3,031.4	-	-	-	-	-	6	24.2	-	-	-	-	-	-	-	-	-	-	12	-	1,084.4
2018	구로구	101	1	3,327.7	-	-	-	61	1	3,005.9	25	49	12	21.5	16	1	1,215.3	2	-	1,685.4	-	-	3	14.5	1	12.8	-	-	-	-	-	-	2	7.3	40	-	321.7
2018	금천구	55	1	2,206.2	-	-	-	47	1	2,042.2	41	41.4	2	5.2	2	-	22.8	-	1	1,955.4	-	-	2	17.3	-	-	-	-	-	-	-	-	-	-	8	-	164
2018	영등포구	125	-	3,091.1	-	-	-	90	-	746.1	32	98.5	43	60.4	13	-	583.2	-	-	-	-	-	1	1.1	-	-	1	3	-	-	-	-	-	-	35	-	2,345.0
2018	동작구	82	1	4,585.4	-	-	-	66	-	4,391.3	33	40.1	20	20.5	10	-	2,866.6	-	-	-	1	1,404.0	1	12.2	-	-	1	47.8	-	-	-	-	-	-	16	1	194
2018	관악구	110	2	10,977.1	-	-	-	98	2	10,970.6	71	87.3	17	22.8	4	2	401.9	1	-	10,420.8	-	-	1	4.3	-	-	-	-	4	33.5	-	-	-	-	12	-	6.5
2018	서초구	165	-	16,036.3	-	-	-	137	-	15,230.5	82	138.2	16	27.8	28	-	1,757.4	6	-	13,026.3	1	127.8	-	-	1	20.9	-	-	3	132.1	-	-	-	-	28	-	805.8
