시도명,시도코드,시군구명,시군구코드,인구수,남자수,여자수
강원도,42,강릉시,42150,213442,105893,107549
강원도,42,동해시,42170,90522,45845,44677
강원도,42,태백시,42190,43866,22168,21698
강원도,42,속초시,42210,81786,40420,41366
강원도,42,삼척시,42230,67228,34038,33190
강원도,42,홍천군,42720,69150,35359,33791
강원도,42,횡성군,42730,46575,23785,22790
강원도,42,영월군,42750,39127,20143,18984
강원도,42,평창군,42760,42106,21550,20556
강원도,42,정선군,42770,37271,19360,17911
강원도,42,철원군,42780,45584,23767,21817
강원도,42,화천군,42790,24917,13495,11422
강원도,42,양구군,42800,22764,12082,10682
강원도,42,인제군,42810,31672,17143,14529
강원도,42,고성군,42820,27260,14114,13146
강원도,42,양양군,42830,27726,14099,13627
충청북도,43,서원구,43112,203209,100853,102356
충청북도,43,청원구,43114,195868,100247,95621
충청북도,43,상당구,43111,178352,88765,89587
충청북도,43,흥덕구,43113,262137,132999,129138
충청북도,43,충주시,43130,210737,106569,104168
충청북도,43,제천시,43150,134617,67459,67158
충청북도,43,보은군,43720,32949,16531,16418
충청북도,43,옥천군,43730,51023,25707,25316
충청북도,43,영동군,43740,48738,24181,24557
충청북도,43,증평군,43745,37392,19350,18042
충청북도,43,진천군,43750,81084,42388,38696
충청북도,43,괴산군,43760,39163,20013,19150
충청북도,43,음성군,43770,94982,50264,44718
충청북도,43,단양군,43800,29756,15058,14698
충청남도,44,당진시,44270,167042,88299,78743
충청남도,44,동남구,44131,259411,131586,127825
충청남도,44,서북구,44133,392847,200861,191986
충청남도,44,공주시,44150,106474,53343,53131
충청남도,44,보령시,44180,101114,51146,49968
충청남도,44,아산시,44200,314395,162694,151701
충청남도,44,서산시,44210,174690,90348,84342
충청남도,44,논산시,44230,118842,59406,59436
충청남도,44,계룡시,44250,42971,21338,21633
충청남도,44,금산군,44710,52257,26309,25948
충청남도,44,부여군,44760,66740,33049,33691
충청남도,44,서천군,44770,52805,26110,26695
충청남도,44,청양군,44790,31717,15997,15720
충청남도,44,홍성군,44800,100423,49931,50492
충청남도,44,예산군,44810,79238,39806,39432
충청남도,44,태안군,44825,62743,31715,31028
전라북도,45,완산구,45111,338839,165180,173659
전라북도,45,덕진구,45113,315555,157056,158499
전라북도,45,군산시,45130,270131,136421,133710
전라북도,45,익산시,45140,287771,143392,144379
전라북도,45,정읍시,45180,110541,54736,55805
전라북도,45,남원시,45190,81441,39884,41557
전라북도,45,김제시,45210,83895,41624,42271
전라북도,45,완주군,45710,92220,47290,44930
전라북도,45,진안군,45720,25697,12966,12731
전라북도,45,무주군,45730,24303,12090,12213
전라북도,45,장수군,45740,22441,11165,11276
전라북도,45,임실군,45750,28902,14659,14243
전라북도,45,순창군,45770,28382,13756,14626
전라북도,45,고창군,45790,55504,27418,28086
전라북도,45,부안군,45800,53295,26473,26822
전라남도,46,목포시,46110,229861,114565,115296
전라남도,46,여수시,46130,282786,143791,138995
전라남도,46,순천시,46150,279598,139324,140274
전라남도,46,나주시,46170,114664,57668,56996
전라남도,46,광양시,46230,156750,81365,75385
전라남도,46,담양군,46710,46535,23719,22816
전라남도,46,곡성군,46720,28887,14114,14773
전라남도,46,구례군,46730,26563,12924,13639
전라남도,46,고흥군,46770,64913,31445,33468
전라남도,46,보성군,46780,41420,20063,21357
전라남도,46,화순군,46790,62737,31061,31676
전라남도,46,장흥군,46800,38563,18690,19873
전라남도,46,강진군,46810,35286,16944,18342
전라남도,46,해남군,46820,70354,34642,35712
전라남도,46,영암군,46830,54593,28027,26566
전라남도,46,무안군,46840,81105,40659,40446
전라남도,46,함평군,46860,32861,16404,16457
전라남도,46,영광군,46870,53852,26828,27024
전라남도,46,장성군,46880,45739,23489,22250
전라남도,46,완도군,46890,50689,25457,25232
전라남도,46,진도군,46900,30715,15093,15622
전라남도,46,신안군,46910,40274,21402,18872
경상북도,47,남구,47111,235633,121261,114372
경상북도,47,북구,47113,271392,134879,136513
경상북도,47,경주시,47130,255402,127928,127474
경상북도,47,김천시,47150,141229,70743,70486
경상북도,47,안동시,47170,160052,79239,80813
경상북도,47,구미시,47190,419742,215208,204534
경상북도,47,영주시,47210,105067,52060,53007
경상북도,47,영천시,47230,102470,52100,50370
경상북도,47,상주시,47250,100688,49378,51310
경상북도,47,문경시,47280,72242,35391,36851
경상북도,47,경산시,47290,263185,132616,130569
경상북도,47,군위군,47720,23843,12166,11677
경상북도,47,의성군,47730,52595,25720,26875
경상북도,47,청송군,47750,25416,12694,12722
경상북도,47,영양군,47760,16993,8419,8574
경상북도,47,영덕군,47770,37361,17777,19584
경상북도,47,청도군,47820,42910,21065,21845
경상북도,47,고령군,47830,32373,16548,15825
경상북도,47,성주군,47840,44015,22716,21299
경상북도,47,칠곡군,47850,117047,61063,55984
경상북도,47,예천군,47900,55100,27032,28068
경상북도,47,봉화군,47920,32150,16146,16004
경상북도,47,울진군,47930,49314,24658,24656
경상북도,47,울릉군,47940,9617,5230,4387
경상남도,48,의창구,48121,258582,131544,127038
경상남도,48,성산구,48123,220945,112865,108080
경상남도,48,마산합포구,48125,177784,88457,89327
경상남도,48,마산회원구,48127,193807,97453,96354
경상남도,48,진해구,48129,193622,98943,94679
경상남도,48,진주시,48170,347334,171834,175500
경상남도,48,통영시,48220,131404,66053,65351
경상남도,48,사천시,48240,111925,56451,55474
경상남도,48,김해시,48250,542455,274336,268119
경상남도,48,밀양시,48270,105552,51618,53934
경상남도,48,거제시,48310,248276,130141,118135
경상남도,48,양산시,48330,350759,176114,174645
경상남도,48,의령군,48720,27168,13242,13926
경상남도,48,함안군,48730,65700,33203,32497
경상남도,48,창녕군,48740,62331,31015,31316
경상남도,48,고성군,48820,52276,26208,26068
경상남도,48,남해군,48840,43622,20988,22634
경상남도,48,하동군,48850,46574,23149,23425
경상남도,48,산청군,48860,35417,17321,18096
경상남도,48,함양군,48870,39637,19097,20540
경상남도,48,거창군,48880,62179,30345,31834
경상남도,48,합천군,48890,45204,21655,23549
제주특별자치도,50,제주시,50110,489405,245533,243872
제주특별자치도,50,서귀포시,50130,181584,91812,89772
